ts_id,date,value,info,pass,bardate,open_date,open,diff,relrtrn,d_days,RatioToPrev,RatioToPPrev
CAD=,1999-01-05,1.51,Bottom,1,1999-01-05,1999-01-05,1.52,-0.01,-0.66,0,,
CAD=,1999-01-18,1.53,Top,1,1999-01-18,1999-01-05,1.51,0.02,1.32,13,,
CAD=,1999-02-08,1.48,Bottom,1,1999-02-08,1999-01-18,1.53,-0.05,-3.27,21,,
CAD=,1999-03-15,1.53,Top,1,1999-03-11,1999-02-08,1.48,0.05,3.37,35,-1,2.5
CAD=,1999-03-22,1.5,Bottom,1,1999-03-22,1999-03-15,1.53,-0.03,-1.97,7,-0.6,0.6
CAD=,1999-03-29,1.51,Top,1,1999-03-23,1999-03-22,1.5,0.01,0.66,7,-0.34,0.2
CAD=,1999-05-03,1.45,Bottom,1,1999-05-03,1999-03-29,1.51,-0.06,-3.98,35,-6,2
CAD=,1999-05-10,1.46,Top,1,1999-05-06,1999-05-03,1.45,0.01,0.68,7,-0.17,1
CAD=,1999-05-11,1.45,Bottom,1,1999-05-10,1999-05-10,1.46,-0.01,-0.69,1,-1,0.16
CAD=,1999-05-18,1.47,Top,1,1999-05-17,1999-05-11,1.45,0.02,1.37,7,-2,2
CAD=,1999-05-24,1.45,Bottom,1,1999-05-18,1999-05-18,1.47,-0.02,-1.37,6,-1,2
CAD=,1999-06-01,1.48,Top,1,1999-05-31,1999-05-24,1.45,0.03,2.06,8,-1.5,1.5
CAD=,1999-06-14,1.46,Bottom,1,1999-06-14,1999-06-01,1.48,-0.02,-1.36,13,-0.67,1
CAD=,1999-06-29,1.48,Top,1,1999-06-21,1999-06-14,1.46,0.02,1.36,15,-1,0.66
CAD=,1999-07-02,1.46,Bottom,1,1999-07-02,1999-06-29,1.48,-0.02,-1.36,3,-1,1
CAD=,1999-07-26,1.51,Top,1,1999-07-26,1999-07-02,1.46,0.05,3.42,24,-2.5,2.5
CAD=,1999-08-13,1.48,Bottom,1,1999-08-13,1999-07-26,1.51,-0.03,-1.99,18,-0.6,1.5
CAD=,1999-08-23,1.5,Top,1,1999-08-23,1999-08-13,1.48,0.02,1.35,10,-0.67,0.4
CAD=,1999-08-24,1.49,Bottom,1,1999-08-24,1999-08-23,1.5,-0.01,-0.67,1,-0.5,0.33
CAD=,1999-09-02,1.5,Top,1,1999-08-30,1999-08-24,1.49,0.01,0.67,9,-1,0.5
CAD=,1999-09-13,1.47,Bottom,1,1999-09-13,1999-09-02,1.5,-0.03,-2.01,11,-3,3
CAD=,1999-09-20,1.48,Top,1,1999-09-15,1999-09-13,1.47,0.01,0.68,7,-0.34,1
CAD=,1999-09-28,1.46,Bottom,1,1999-09-27,1999-09-20,1.48,-0.02,-1.36,8,-2,0.66
CAD=,1999-10-01,1.48,Top,1,1999-10-01,1999-09-28,1.46,0.02,1.36,3,-1,2
CAD=,1999-10-04,1.47,Bottom,1,1999-10-04,1999-10-01,1.48,-0.01,-0.68,3,-0.5,0.5
CAD=,1999-10-18,1.6,Top,1,1999-10-18,1999-10-04,1.47,0.13,8.84,14,-13,6.5
CAD=,1999-11-12,1.46,Bottom,1,1999-11-12,1999-10-18,1.6,-0.14,-8.76,25,-1.08,14
