ts_id,date,value,info,pass
CAD=,1999-02-08,1.48,Bottom,2
CAD=,1999-03-15,1.53,Top,2
CAD=,1999-05-03,1.45,Bottom,2
CAD=,1999-07-26,1.51,Top,2
CAD=,1999-08-13,1.48,Bottom,2
CAD=,1999-09-02,1.5,Top,2
CAD=,1999-09-28,1.46,Bottom,2
CAD=,1999-10-18,1.6,Top,2
CAD=,2000-01-27,1.43,Bottom,2
CAD=,2000-05-23,1.51,Top,2
CAD=,2000-07-24,1.46,Bottom,2
CAD=,2000-11-20,1.56,Top,2
CAD=,2001-01-02,1.49,Bottom,2
CAD=,2001-04-03,1.58,Top,2
CAD=,2001-06-29,1.51,Bottom,2
CAD=,2001-11-21,1.6,Top,2
CAD=,2001-12-14,1.56,Bottom,2
CAD=,2002-01-21,1.61,Top,2
CAD=,2002-01-31,1.58,Bottom,2
CAD=,2002-02-26,1.61,Top,2
CAD=,2002-03-20,1.58,Bottom,2
CAD=,2002-04-09,1.6,Top,2
CAD=,2002-06-27,1.51,Bottom,2
CAD=,2002-08-05,1.6,Top,2
CAD=,2002-08-16,1.55,Bottom,2
CAD=,2002-10-08,1.6,Top,2
CAD=,2003-06-13,1.33,Bottom,2
CAD=,2003-07-22,1.42,Top,2
CAD=,2003-11-18,1.3,Bottom,2
CAD=,2003-12-19,1.34,Top,2
CAD=,2004-01-09,1.27,Bottom,2
CAD=,2004-03-17,1.34,Top,2
CAD=,2004-03-29,1.31,Bottom,2
CAD=,2004-05-17,1.4,Top,2
CAD=,2004-11-24,1.18,Bottom,2
CAD=,2005-02-07,1.26,Top,2
CAD=,2005-03-16,1.2,Bottom,2
CAD=,2005-05-16,1.27,Top,2
CAD=,2005-09-30,1.16,Bottom,2
CAD=,2005-10-14,1.19,Top,2
CAD=,2005-10-20,1.12,Bottom,2
CAD=,2005-11-14,1.19,Top,2
CAD=,2006-03-02,1.13,Bottom,2
CAD=,2006-03-27,1.17,Top,2
CAD=,2006-05-30,1.1,Bottom,2
CAD=,2006-07-24,1.14,Top,2
CAD=,2006-08-31,1.1,Bottom,2
CAD=,2007-02-02,1.19,Top,2
CAD=,2007-02-19,1.16,Bottom,2
CAD=,2007-03-14,1.18,Top,2
CAD=,2007-07-16,1.04,Bottom,2
CAD=,2007-08-15,1.08,Top,2
CAD=,2007-11-06,0.92,Bottom,2
CAD=,2008-01-17,1.03,Top,2
CAD=,2008-02-28,0.97,Bottom,2
CAD=,2008-03-31,1.03,Top,2
CAD=,2008-05-21,0.98,Bottom,2
CAD=,2008-06-13,1.03,Top,2
CAD=,2008-07-15,1,Bottom,2
CAD=,2008-09-11,1.08,Top,2
CAD=,2008-09-22,1.03,Bottom,2
CAD=,2008-10-27,1.29,Top,2
CAD=,2008-11-04,1.15,Bottom,2
CAD=,2008-11-21,1.29,Top,2
CAD=,2009-01-06,1.18,Bottom,2
CAD=,2009-01-20,1.27,Top,2
CAD=,2009-01-28,1.22,Bottom,2
CAD=,2009-03-09,1.3,Top,2
CAD=,2009-06-02,1.08,Bottom,2
CAD=,2009-07-08,1.17,Top,2
CAD=,2009-08-03,1.07,Bottom,2
CAD=,2009-09-02,1.11,Top,2
CAD=,2009-10-14,1.03,Bottom,2
CAD=,2009-11-02,1.08,Top,2
CAD=,2009-12-01,1.04,Bottom,2
CAD=,2009-12-17,1.07,Top,2
CAD=,2010-01-14,1.02,Bottom,2
CAD=,2010-02-04,1.07,Top,2
CAD=,2010-04-05,1,Bottom,2
CAD=,2010-07-02,1.07,Top,2
CAD=,2010-08-02,1.02,Bottom,2
CAD=,2010-08-31,1.07,Top,2
CAD=,2010-11-08,1,Bottom,2
CAD=,2010-11-30,1.03,Top,2
CAD=,2010-12-02,1,Bottom,2
CAD=,2010-12-20,1.02,Top,2
CAD=,2011-04-25,0.95,Bottom,2
CAD=,2011-06-24,0.99,Top,2
CAD=,2011-07-26,0.94,Bottom,2
CAD=,2011-11-23,1.05,Top,2
CAD=,2012-04-25,0.98,Bottom,2
CAD=,2012-06-04,1.04,Top,2
CAD=,2012-09-12,0.97,Bottom,2
CAD=,2012-11-19,1,Top,2
CAD=,2012-12-18,0.98,Bottom,2
CAD=,2013-03-20,1.03,Top,2
CAD=,2013-05-08,1,Bottom,2
CAD=,2013-07-08,1.06,Top,2
CAD=,2013-07-29,1.03,Bottom,2
CAD=,2013-09-03,1.06,Top,2
CAD=,2013-09-19,1.02,Bottom,2
CAD=,2014-01-30,1.12,Top,2
CAD=,2014-02-17,1.1,Bottom,2
CAD=,2014-03-20,1.12,Top,2
CAD=,2014-07-10,1.06,Bottom,2
CAD=,2015-02-02,1.27,Top,2
CAD=,2015-02-18,1.23908,Bottom,2
CAD=,2015-03-16,1.28166,Top,2
