ts_id,date,value,info,pass,bardate,open_date,open,diff,relrtrn,d_days,RatioToPrev,RatioToPPrev
CAD=,2007-03-05,1.18,Top,1,2007-03-05,2007-02-19,1.16,0.02,1.72,14,-0.67,0.22
CAD=,2007-07-16,1.04,Bottom,1,2007-07-11,2007-03-05,1.18,-0.14,-11.87,133,-7,4.66
CAD=,2007-08-15,1.08,Top,1,2007-08-15,2007-07-16,1.04,0.04,3.84,30,-0.29,2
CAD=,2007-11-06,0.92,Bottom,1,2007-11-06,2007-08-15,1.08,-0.16,-14.82,83,-4,1.14
CAD=,2008-01-17,1.03,Top,1,2008-01-17,2007-11-06,0.92,0.11,11.95,72,-0.69,2.74
CAD=,2008-02-28,0.97,Bottom,1,2008-02-28,2008-01-17,1.03,-0.06,-5.83,42,-0.55,0.37
CAD=,2008-03-31,1.03,Top,1,2008-03-31,2008-02-28,0.97,0.06,6.18,32,-1,0.54
CAD=,2008-05-21,0.98,Bottom,1,2008-04-23,2008-03-31,1.03,-0.05,-4.86,51,-0.84,0.83
CAD=,2008-06-13,1.03,Top,1,2008-06-13,2008-05-21,0.98,0.05,5.1,23,-1,0.83
CAD=,2008-07-15,1,Bottom,1,2008-07-07,2008-06-13,1.03,-0.03,-2.92,32,-0.6,0.6
CAD=,2008-09-11,1.08,Top,1,2008-08-21,2008-07-15,1,0.08,8,58,-2.67,1.6
CAD=,2008-09-22,1.03,Bottom,1,2008-09-11,2008-09-11,1.08,-0.05,-4.63,11,-0.63,1.66
CAD=,2008-10-27,1.29,Top,1,2008-10-13,2008-09-22,1.03,0.26,25.24,35,-5.2,3.24
CAD=,2008-11-04,1.15,Bottom,1,2008-10-27,2008-10-27,1.29,-0.14,-10.86,8,-0.54,2.8
CAD=,2008-11-21,1.29,Top,1,2008-11-21,2008-11-04,1.15,0.14,12.17,17,-1,0.53
CAD=,2009-01-06,1.18,Bottom,1,2008-12-30,2008-11-21,1.29,-0.11,-8.53,46,-0.79,0.78
CAD=,2009-01-20,1.27,Top,1,2009-01-20,2009-01-06,1.18,0.09,7.62,14,-0.82,0.64
CAD=,2009-02-09,1.22,Bottom,1,2009-02-02,2009-01-20,1.27,-0.05,-3.94,20,-0.56,0.45
CAD=,2009-03-09,1.3,Top,1,2009-03-09,2009-02-09,1.22,0.08,6.55,28,-1.6,0.88
CAD=,2009-06-02,1.08,Bottom,1,2009-06-02,2009-03-09,1.3,-0.22,-16.93,85,-2.75,4.39
CAD=,2009-07-08,1.17,Top,1,2009-07-01,2009-06-02,1.08,0.09,8.33,36,-0.41,1.12
CAD=,2009-08-03,1.07,Bottom,1,2009-08-03,2009-07-08,1.17,-0.1,-8.55,26,-1.12,0.45
CAD=,2009-08-17,1.11,Top,1,2009-08-17,2009-08-03,1.07,0.04,3.73,14,-0.41,0.44
CAD=,2009-10-14,1.03,Bottom,1,2009-10-14,2009-08-17,1.11,-0.08,-7.21,58,-2,0.8
CAD=,2009-11-02,1.08,Top,1,2009-11-02,2009-10-14,1.03,0.05,4.85,19,-0.63,1.25
CAD=,2009-12-01,1.04,Bottom,1,2009-11-23,2009-11-02,1.08,-0.04,-3.71,29,-0.8,0.5
CAD=,2009-12-17,1.07,Top,1,2009-12-01,2009-12-01,1.04,0.03,2.88,16,-0.75,0.6
CAD=,2010-01-14,1.02,Bottom,1,2009-12-17,2009-12-17,1.07,-0.05,-4.68,28,-1.67,1.25
CAD=,2010-02-04,1.07,Top,1,2010-02-04,2010-01-14,1.02,0.05,4.9,21,-1,1.66
CAD=,2010-04-20,1,Bottom,1,2010-04-19,2010-02-04,1.07,-0.07,-6.55,75,-1.4,1.4
CAD=,2010-07-02,1.07,Top,1,2010-07-02,2010-04-20,1,0.07,7,73,-1,1.4
CAD=,2010-08-02,1.02,Bottom,1,2010-07-19,2010-07-02,1.07,-0.05,-4.68,31,-0.72,0.71
CAD=,2010-08-31,1.07,Top,1,2010-08-02,2010-08-02,1.02,0.05,4.9,29,-1,0.71
CAD=,2010-11-08,1,Bottom,1,2010-11-08,2010-08-31,1.07,-0.07,-6.55,69,-1.4,1.4
CAD=,2010-11-30,1.03,Top,1,2010-11-24,2010-11-08,1,0.03,3,22,-0.43,0.6
CAD=,2010-12-15,1,Bottom,1,2010-12-06,2010-11-30,1.03,-0.03,-2.92,15,-1,0.42
CAD=,2010-12-20,1.02,Top,1,2010-12-15,2010-12-15,1,0.02,2,5,-0.67,0.66
CAD=,2011-04-25,0.95,Bottom,1,2011-04-25,2010-12-20,1.02,-0.07,-6.87,126,-3.5,2.33
CAD=,2011-06-24,0.99,Top,1,2011-06-14,2011-04-25,0.95,0.04,4.21,60,-0.58,2
CAD=,2011-07-26,0.94,Bottom,1,2011-06-24,2011-06-24,0.99,-0.05,-5.06,32,-1.25,0.71
CAD=,2011-11-23,1.05,Top,1,2011-11-23,2011-07-26,0.94,0.11,11.7,120,-2.21,2.75
CAD=,2012-04-25,0.98,Bottom,1,2012-04-09,2011-11-23,1.05,-0.07,-6.67,154,-0.64,1.4
CAD=,2012-06-04,1.04,Top,1,2012-06-04,2012-04-25,0.98,0.06,6.12,40,-0.86,0.54
CAD=,2012-09-12,0.97,Bottom,1,2012-09-12,2012-06-04,1.04,-0.07,-6.74,100,-1.17,1
CAD=,2012-10-29,1,Top,1,2012-10-29,2012-09-12,0.97,0.03,3.09,47,-0.43,0.5
CAD=,2013-01-11,0.98,Bottom,1,2012-12-31,2012-10-29,1,-0.02,-2.01,74,-0.67,0.28
CAD=,2013-03-04,1.03,Top,1,2013-03-04,2013-01-11,0.98,0.05,5.1,52,-2.5,1.66
CAD=,2013-05-08,1,Bottom,1,2013-04-22,2013-03-04,1.03,-0.03,-2.92,65,-0.6,1.5
CAD=,2013-07-08,1.06,Top,1,2013-07-08,2013-05-08,1,0.06,6,61,-2,1.2
CAD=,2013-08-12,1.03,Bottom,1,2013-08-05,2013-07-08,1.06,-0.03,-2.84,35,-0.5,1
CAD=,2013-09-03,1.06,Top,1,2013-08-12,2013-08-12,1.03,0.03,2.91,22,-1,0.5
CAD=,2013-09-19,1.02,Bottom,1,2013-09-19,2013-09-03,1.06,-0.04,-3.78,16,-1.34,1.33
CAD=,2014-01-30,1.12,Top,1,2014-01-30,2013-09-19,1.02,0.1,9.8,133,-2.5,3.33
CAD=,2014-03-06,1.1,Bottom,1,2014-02-24,2014-01-30,1.12,-0.02,-1.79,35,-0.2,0.5
CAD=,2014-03-20,1.12,Top,1,2014-03-06,2014-03-06,1.1,0.02,1.81,14,-1,0.2
CAD=,2014-07-10,1.06,Bottom,1,2014-07-10,2014-03-20,1.12,-0.06,-5.36,112,-3,3
CAD=,2015-02-02,1.27,Top,1,2015-02-02,2014-07-10,1.06,0.21,19.81,207,-3.5,10.49
CAD=,2015-02-18,1.23908,Bottom,1,2015-02-18,2015-02-02,1.27,-0.03092,-2.44,16,-0.15,0.51
CAD=,2015-03-16,1.28166,Top,1,2015-03-16,2015-02-18,1.23908,0.04258,3.43,26,-1.38,0.2
